382263	fry	Alle minsken wurde frij en gelyk yn weardigens en rjochten berne. Hja hawwe ferstân en gewisse meikrigen en hearre har foar inoar oer yn in geast fan bruorskip te hâlden en te dragen.
382290	fry	Ien, twa, trije, fjouwer, fiif, seis, sân, acht, njoggen, tsien.
382295	fry	Als de kat fan hûs is, stekt de mûs de steert omheech.
382296	fry	It is net allegearre goud wat der blinkt.
382297	fry	Dy't him ienkear baarnd hat, dy mijt it fjoer.
382298	fry	In keap is in keap.
382299	fry	Better in blyn hynder as in leech helter.
382300	fry	Leagens hawwe koarte skonkjes.
382301	fry	De appel falt net fier fan de beam.
382302	fry	Wat men net wit, dat deart jin net.
382525	fry	Bûter, brea, en griene tsiis; wa't dat net sizze kin, is gjin oprjochte Fries.
382530	fry	De jonge streake it famke om it kin en tute har op 'e wangen.
383587	fry	Ik hâld fan dy.
383592	fry	Ik sjoch triennen yn dyn eagen.
383598	fry	Yn’e fierte hear ik it lûd fan sêft rûzjende weagen.
383603	fry	Ik moat dy ferlitte.
383606	fry	Ik sil dy nea ferjitte.
383613	fry	Hy wurdt mei koarten heit.
383618	fry	De sinne skynt al ieuwen oer ûs lân.
383620	fry	It famke sjongt en dûnset en laket dan nei my.
384929	fry	Lit my gean!
384931	fry	Lit my mei rêst!
384933	fry	Ik wit it noch net.
384934	fry	Ik wit net wat it is.
384935	fry	Nee, ik wit it net.
384937	fry	Ik bin wurch.
384939	fry	Ik ha toarst.
384941	fry	Gean mar sitten.
384942	fry	Kin ik mei in kreditkaart betelje?
384944	fry	Dat is te djoer!
384945	fry	Wat kostet it?
384946	fry	Wêr is it húske?
384948	fry	Wêr is dyn skoalle?
384949	fry	Wêr is it treinstasjon?
384951	fry	Kin jo my helpe?
384953	fry	Prate jo Italiaansk?
384955	fry	Prate jo Japansk?
384957	fry	Prate jo Ingelsk?
384958	fry	Ik praat gjin Japansk.
384959	fry	Ik ferstean gjin Dútsk.
384961	fry	Ik begryp it net.
384962	fry	Aardich om my jo yn ’e kunde te kommen.
384964	fry	Ik kom út Singapore.
384965	fry	Wêr komme jo wei?
384966	fry	Ik hjit Jack.
384967	fry	Myn namme is Hopkins.
384969	fry	Hoi, myn namme is Ken Saitou.
384970	fry	Wat is dyn namme?
384971	fry	Wat is jo namme?
384972	fry	"Tanke wol." "Graach dien."
384974	fry	Goejûn, hoe is 't mei jo?
384975	fry	Wolkom!
384976	fry	Goeie.
386474	fry	Dat is deagewoan.
386477	fry	Is dat wol goed?
